-0.0421911, -0.894886, -0.0421911, 0.979268, 0.563983, 0, -0.563983, 0, 0, 0, 0, 0, -0.0461515, -0.844597, -0.0461515, 1.04887, 
0.602098, 0.0596498, -0.529399, -0.006681, 
-0.00561471, -0.0199891, -0.00561471, -0.0106352, 
-0.0422099, -0.898171, -0.0422099, 0.982591, 
0.565749, -0, -0.565749, -0, 
-0, -0, -0, -0, 
-0.0425858, -0.889575, -0.0425858, 0.985916, 
0.567628, 0.00595034, -0.560372, -0.000669028, 
-0.000561884, -0.00200055, -0.000561884, -0.00106441, 
-0.0421913, -0.894919, -0.0421913, 0.979301, 
0.564, -0, -0.564, -0, 
-0, -0, -0, -0, 
-0.0422306, -0.894352, -0.0422306, 0.97993, 
0.564346, 0.00059502, -0.56362, -6.69037e-05, 
-5.61888e-05, -0.000200057, -5.61888e-05, -0.000106442, 
-0.0421911, -0.894886, -0.0421911, 0.979269, 
0.563983, -0, -0.563983, -0, 
-0, -0, -0, -0, 
-0.042195, -0.894833, -0.042195, 0.979334, 
0.564019, 5.9502e-05, -0.563947, -6.69037e-06, 
-5.61888e-06, -2.00057e-05, -5.61888e-06, -1.06442e-05, 
-0.0421911, -0.894886, -0.0421911, 0.979268, 
0.563983, -0, -0.563983, -0, 
-0, -0, -0, -0, 
